run,pooltype,generator_index_in_pool,β_coeff,γ_coeff,energy
1,qaoa_double_pool,62,-0.785386850578955,-1.4388398742945033e-6,-2.999999999999907
1,qaoa_double_pool,22,-0.7853965164484387,-1.6870035743409025e-6,-3.499999999999991
1,qaoa_double_pool,38,-0.7853988800194163,-1.1653114408834669e-6,-3.9999999997647793
1,qaoa_double_pool,60,-0.7853963902495016,0.7853988670748698,-4.9999999998364615
2,qaoa_double_pool,22,-0.7854013858719986,2.533565629513914e-7,-2.9999999999999076
2,qaoa_double_pool,62,-0.785398164651422,2.882588880584328e-7,-3.4999999999999907
2,qaoa_double_pool,38,-0.785396814621496,-3.299699986587638e-7,-3.9999999997647793
2,qaoa_double_pool,61,0.7853988886372987,0.7853976456828422,-4.999999999984301
3,qaoa_double_pool,22,-0.7853981640538956,-7.844854914881415e-8,-2.9999999999999076
3,qaoa_double_pool,62,-0.785398211067923,-7.608899124920824e-6,-3.4999999999999907
3,qaoa_double_pool,34,-0.7853914778227461,-6.267408660503996e-6,-3.999999999863878
3,qaoa_double_pool,21,0.7853907616361824,0.7853868044189868,-4.999999998889519
4,qaoa_double_pool,62,-0.785386850578955,-1.4388398742945033e-6,-2.999999999999907
4,qaoa_double_pool,22,-0.7853965164484387,-1.6870035743409025e-6,-3.499999999999991
4,qaoa_double_pool,38,-0.7853988800194163,-1.1653114408834669e-6,-3.9999999997647793
4,qaoa_double_pool,60,-0.7853963902495016,0.7853988670748698,-4.9999999998364615
5,qaoa_double_pool,62,-0.7853981640538962,-7.844854958520553e-8,-2.999999999999907
5,qaoa_double_pool,22,-0.7853982110679273,-7.608899126651102e-6,-3.499999999999991
5,qaoa_double_pool,11,-0.7853914778227463,-6.2674086596806525e-6,-3.9999999998638778
5,qaoa_double_pool,61,0.7853907616361827,0.7853868044189821,-4.999999998889518
6,qaoa_double_pool,22,-0.7853868505790762,-1.4388398059078685e-6,-2.9999999999999076
6,qaoa_double_pool,62,-0.7853965164492087,-1.6870034855341228e-6,-3.4999999999999907
6,qaoa_double_pool,38,-0.7853988800193534,-1.1653113757592439e-6,-3.9999999997647793
6,qaoa_double_pool,60,-0.7853963902496098,0.7853988670748148,-4.999999999836456
7,qaoa_double_pool,22,-0.785399684973034,1.013537846239983e-6,-2.9999999999999076
7,qaoa_double_pool,62,-0.7853980428115634,5.128182767147901e-7,-3.4999999999999907
7,qaoa_double_pool,34,-0.7853965383124932,-3.131954663552076e-7,-3.999999999863878
7,qaoa_double_pool,20,-0.78539973257957,0.7853965717935673,-4.999999999982027
8,qaoa_double_pool,62,-0.7853981609302613,3.162566133520429e-7,-2.999999999999907
8,qaoa_double_pool,22,-0.7853981642280217,1.0547951155575355e-7,-3.499999999999991
8,qaoa_double_pool,34,-0.785397275881004,-8.05931462489066e-8,-3.999999999797518
8,qaoa_double_pool,21,0.7853993110100259,0.7853980525507208,-4.999999999995451
9,qaoa_double_pool,62,-0.7854013858720003,2.53356562665162e-7,-2.999999999999907
9,qaoa_double_pool,22,-0.7853981646514242,2.8825888830340827e-7,-3.499999999999991
9,qaoa_double_pool,42,-0.7853968146214957,-3.299700011278174e-7,-3.9999999997647784
9,qaoa_double_pool,21,0.7853988886373003,0.7853976456828426,-4.999999999984306
10,qaoa_double_pool,62,-0.7853868505790851,-1.4388398070480325e-6,-2.999999999999907
10,qaoa_double_pool,22,-0.7853965164491434,-1.687003487190821e-6,-3.499999999999991
10,qaoa_double_pool,42,-0.785398880019355,-1.165311377897443e-6,-3.9999999997647784
10,qaoa_double_pool,20,-0.7853963902496082,0.7853988670748167,-4.999999999836451
